
NormalizedLandmark(x=0.5961762070655823, y=0.6435216665267944, z=0.032790202647447586, visibility=0.9996365308761597, presence=0.9991874098777771)
NormalizedLandmark(x=0.5897916555404663, y=0.6376590132713318, z=0.0768926814198494, visibility=0.9998037219047546, presence=0.9996304512023926)
NormalizedLandmark(x=0.5924708247184753, y=0.6458360552787781, z=0.027777843177318573, visibility=0.9992733597755432, presence=0.9980846643447876)
NormalizedLandmark(x=0.5958108901977539, y=0.647793173789978, z=0.019621314480900764, visibility=0.9997343420982361, presence=0.9995854496955872)
NormalizedLandmark(x=0.5902156829833984, y=0.6373528838157654, z=0.05358494073152542, visibility=0.9997794032096863, presence=0.9996966123580933)
NormalizedLandmark(x=0.5944234132766724, y=0.6401445865631104, z=-0.00822623074054718, visibility=0.99935382604599, presence=0.9986767172813416)
NormalizedLandmark(x=0.5902577042579651, y=0.6343302130699158, z=0.06382925808429718, visibility=0.9998230338096619, presence=0.999797523021698)
NormalizedLandmark(x=0.5941413044929504, y=0.6429100036621094, z=0.036295030266046524, visibility=0.9995397329330444, presence=0.9992055296897888)
NormalizedLandmark(x=0.5923393964767456, y=0.6461129188537598, z=0.03898981958627701, visibility=0.9998041987419128, presence=0.9996720552444458)
NormalizedLandmark(x=0.5928398966789246, y=0.644032895565033, z=0.02478870004415512, visibility=0.9993817806243896, presence=0.9987284541130066)
NormalizedLandmark(x=0.5915623903274536, y=0.6448898911476135, z=0.001700175809673965, visibility=0.9991027116775513, presence=0.9977607727050781)
NormalizedLandmark(x=0.5919830203056335, y=0.6394956707954407, z=0.060243502259254456, visibility=0.9998737573623657, presence=0.9998749494552612)
NormalizedLandmark(x=0.5917056798934937, y=0.6437900066375732, z=0.050907425582408905, visibility=0.9997014403343201, presence=0.9995083808898926)
NormalizedLandmark(x=0.593008816242218, y=0.6468693614006042, z=0.041040461510419846, visibility=0.9998084902763367, presence=0.9997754693031311)
NormalizedLandmark(x=0.5907412171363831, y=0.6399182677268982, z=0.0746396854519844, visibility=0.9997703433036804, presence=0.9996633529663086)
NormalizedLandmark(x=0.5933526158332825, y=0.6434706449508667, z=0.028201419860124588, visibility=0.9995706677436829, presence=0.9992870688438416)
NormalizedLandmark(x=0.5927592515945435, y=0.6418251991271973, z=0.039328161627054214, visibility=0.9997171759605408, presence=0.9996634721755981)
NormalizedLandmark(x=0.5917052030563354, y=0.6414740085601807, z=0.04750434309244156, visibility=0.9997753500938416, presence=0.9996939897537231)
NormalizedLandmark(x=0.5922583341598511, y=0.6363535523414612, z=0.05899983271956444, visibility=0.9996719360351562, presence=0.9994763731956482)
NormalizedLandmark(x=0.5939047932624817, y=0.6441157460212708, z=0.020069105550646782, visibility=0.9995662569999695, presence=0.9992732405662537)
NormalizedLandmark(x=0.586341917514801, y=0.6401993632316589, z=0.08762048184871674, visibility=0.9994980096817017, presence=0.9990839958190918)
NormalizedLandmark(x=0.5906541347503662, y=0.6456997394561768, z=0.04544227197766304, visibility=0.9989058971405029, presence=0.9966198205947876)
NormalizedLandmark(x=0.5935866236686707, y=0.6538779735565186, z=0.058292556554079056, visibility=0.9988980293273926, presence=0.9967181086540222)
NormalizedLandmark(x=0.5901301503181458, y=0.6529268026351929, z=0.02800012193620205, visibility=0.998013973236084, presence=0.9945980310440063)
NormalizedLandmark(x=0.5928525328636169, y=0.6645944714546204, z=0.05243399366736412, visibility=0.9965307116508484, presence=0.989713191986084)
NormalizedLandmark(x=0.5966348648071289, y=0.6655745506286621, z=0.060473326593637466, visibility=0.9975169897079468, presence=0.9934612512588501)
NormalizedLandmark(x=0.5978528261184692, y=0.663527250289917, z=0.08527307212352753, visibility=0.9970253109931946, presence=0.9928340911865234)
NormalizedLandmark(x=0.5998796224594116, y=0.6632875204086304, z=0.08347121626138687, visibility=0.9980950951576233, presence=0.9970518350601196)
NormalizedLandmark(x=0.6023231744766235, y=0.6698986291885376, z=0.041342467069625854, visibility=0.9959535598754883, presence=0.9913238286972046)
NormalizedLandmark(x=0.6016594171524048, y=0.6711270809173584, z=0.03916420042514801, visibility=0.9942060112953186, presence=0.9835284948348999)
NormalizedLandmark(x=0.6025063395500183, y=0.6707326173782349, z=0.07167094200849533, visibility=0.9957631826400757, presence=0.9881564378738403)
NormalizedLandmark(x=0.6030502915382385, y=0.6748930215835571, z=-0.0025076312012970448, visibility=0.9967747330665588, presence=0.9872764945030212)
NormalizedLandmark(x=0.6061843037605286, y=0.6749358773231506, z=-0.06535103172063828, visibility=0.9979391694068909, presence=0.9941806197166443)
NormalizedLandmark(x=0.6063205003738403, y=0.6728637218475342, z=-0.13492193818092346, visibility=0.9988798499107361, presence=0.996866762638092)
NormalizedLandmark(x=0.6033387780189514, y=0.6797717809677124, z=-0.2078026384115219, visibility=0.9994298815727234, presence=0.9988642930984497)
NormalizedLandmark(x=0.6097530126571655, y=0.6774955987930298, z=-0.2715092897415161, visibility=0.9990828037261963, presence=0.9984063506126404)
NormalizedLandmark(x=0.6053531169891357, y=0.6767750382423401, z=-0.21460695564746857, visibility=0.9991832375526428, presence=0.9975778460502625)
NormalizedLandmark(x=0.6032916903495789, y=0.6730148792266846, z=-0.21936911344528198, visibility=0.9991350769996643, presence=0.9982059001922607)
NormalizedLandmark(x=0.6057865619659424, y=0.6724944114685059, z=-0.259660542011261, visibility=0.99928879737854, presence=0.9984763264656067)
NormalizedLandmark(x=0.6042556166648865, y=0.6565685868263245, z=-0.20793156325817108, visibility=0.9992176294326782, presence=0.9985664486885071)
NormalizedLandmark(x=0.6040694117546082, y=0.6658691167831421, z=-0.21996089816093445, visibility=0.9991323351860046, presence=0.9983527660369873)
NormalizedLandmark(x=0.6064305901527405, y=0.6709392070770264, z=-0.2371021956205368, visibility=0.9988258481025696, presence=0.9975138902664185)
NormalizedLandmark(x=0.6026009321212769, y=0.6526405215263367, z=-0.14839808642864227, visibility=0.9995684027671814, presence=0.9990469813346863)
NormalizedLandmark(x=0.6083868741989136, y=0.6694082617759705, z=-0.23515473306179047, visibility=0.9995176792144775, presence=0.9992231130599976)
NormalizedLandmark(x=0.6036728024482727, y=0.6531286835670471, z=-0.23911556601524353, visibility=0.9994361996650696, presence=0.9988806843757629)
NormalizedLandmark(x=0.6068893074989319, y=0.6651241779327393, z=-0.25873374938964844, visibility=0.9993797540664673, presence=0.9986487030982971)
NormalizedLandmark(x=0.6082940101623535, y=0.6637792587280273, z=-0.22206130623817444, visibility=0.9992125034332275, presence=0.9980820417404175)
NormalizedLandmark(x=0.6108173131942749, y=0.655747652053833, z=-0.2676886320114136, visibility=0.9991679191589355, presence=0.998339056968689)
NormalizedLandmark(x=0.6070499420166016, y=0.6577418446540833, z=-0.24130499362945557, visibility=0.9995700716972351, presence=0.999177873134613)
NormalizedLandmark(x=0.6091353297233582, y=0.6596225500106812, z=-0.2706160247325897, visibility=0.999362051486969, presence=0.9987531900405884)
NormalizedLandmark(x=0.6076402068138123, y=0.6578871011734009, z=-0.24143344163894653, visibility=0.9992696642875671, presence=0.9982374906539917)
NormalizedLandmark(x=0.6040377020835876, y=0.661460816860199, z=-0.32033178210258484, visibility=0.9992746710777283, presence=0.9985334873199463)
NormalizedLandmark(x=0.6022284030914307, y=0.6493027210235596, z=-0.24986813962459564, visibility=0.9993752837181091, presence=0.9987727999687195)
NormalizedLandmark(x=0.6020123958587646, y=0.6566439270973206, z=-0.2316102832555771, visibility=0.9994731545448303, presence=0.9988786578178406)
NormalizedLandmark(x=0.6095665097236633, y=0.6579228639602661, z=-0.2674512267112732, visibility=0.9993215799331665, presence=0.998794674873352)
NormalizedLandmark(x=0.6052165031433105, y=0.653222382068634, z=-0.2487427145242691, visibility=0.999354898929596, presence=0.9986578226089478)
NormalizedLandmark(x=0.6032176613807678, y=0.6616016030311584, z=-0.26263341307640076, visibility=0.9990021586418152, presence=0.9976257681846619)
NormalizedLandmark(x=0.5996976494789124, y=0.6630815267562866, z=-0.1687352955341339, visibility=0.9992063641548157, presence=0.9978197813034058)
NormalizedLandmark(x=0.6053755879402161, y=0.6587839126586914, z=-0.230387344956398, visibility=0.9986951947212219, presence=0.9972527623176575)
NormalizedLandmark(x=0.6088765859603882, y=0.6640607118606567, z=-0.25226232409477234, visibility=0.9988595247268677, presence=0.9972057938575745)
NormalizedLandmark(x=0.6079681515693665, y=0.6736670136451721, z=-0.2582570016384125, visibility=0.9992603659629822, presence=0.9983108043670654)
NormalizedLandmark(x=0.6060006022453308, y=0.655613124370575, z=-0.2713282108306885, visibility=0.9991037249565125, presence=0.9980649352073669)
NormalizedLandmark(x=0.6086438298225403, y=0.6644377708435059, z=-0.2820425033569336, visibility=0.999407172203064, presence=0.9988651275634766)
NormalizedLandmark(x=0.6050053834915161, y=0.6697497367858887, z=-0.23364226520061493, visibility=0.9994914531707764, presence=0.999077558517456)
NormalizedLandmark(x=0.6051708459854126, y=0.6752418875694275, z=-0.19295403361320496, visibility=0.9995030164718628, presence=0.9992313385009766)
NormalizedLandmark(x=0.6028652787208557, y=0.6763393878936768, z=-0.115738146007061, visibility=0.9996827840805054, presence=0.9995829463005066)
NormalizedLandmark(x=0.6096984148025513, y=0.6784696578979492, z=-0.09061659872531891, visibility=0.9995830655097961, presence=0.9993579983711243)
NormalizedLandmark(x=0.6045351028442383, y=0.6876688599586487, z=-0.05218958854675293, visibility=0.9996777772903442, presence=0.999293327331543)
NormalizedLandmark(x=0.607046365737915, y=0.6881663203239441, z=-0.18706268072128296, visibility=0.9991614818572998, presence=0.9980656504631042)
NormalizedLandmark(x=0.6124716401100159, y=0.6775249242782593, z=-0.14296676218509674, visibility=0.9993388056755066, presence=0.9985432624816895)
NormalizedLandmark(x=0.6077468991279602, y=0.6811470985412598, z=-0.10067908465862274, visibility=0.9989482760429382, presence=0.9976122379302979)
NormalizedLandmark(x=0.6146188378334045, y=0.6972624659538269, z=-0.10840637981891632, visibility=0.9991150498390198, presence=0.9979921579360962)
NormalizedLandmark(x=0.6126407980918884, y=0.6992471814155579, z=-0.10600820183753967, visibility=0.9990270137786865, presence=0.9979066848754883)
NormalizedLandmark(x=0.6180140376091003, y=0.7003403902053833, z=-0.12125743180513382, visibility=0.9991642236709595, presence=0.9980291724205017)
NormalizedLandmark(x=0.6161352396011353, y=0.7045946717262268, z=-0.16741995513439178, visibility=0.9977885484695435, presence=0.9953987002372742)
NormalizedLandmark(x=0.616455614566803, y=0.702779233455658, z=-0.1515701711177826, visibility=0.9991412162780762, presence=0.9977285265922546)
NormalizedLandmark(x=0.6178934574127197, y=0.7012040019035339, z=-0.11346208304166794, visibility=0.9990909099578857, presence=0.9966204166412354)
NormalizedLandmark(x=0.6139760613441467, y=0.6813945770263672, z=-0.0635843425989151, visibility=0.9991171956062317, presence=0.9983081817626953)
NormalizedLandmark(x=0.5985166430473328, y=0.6924174427986145, z=-0.03314955160021782, visibility=0.9988564252853394, presence=0.9977443218231201)
NormalizedLandmark(x=0.5897437334060669, y=0.6882579326629639, z=-0.08243977278470993, visibility=0.9991056323051453, presence=0.9983755350112915)
NormalizedLandmark(x=0.5816945433616638, y=0.6874767541885376, z=-0.027823368087410927, visibility=0.9991641044616699, presence=0.9982388019561768)
NormalizedLandmark(x=0.5800065994262695, y=0.6922814249992371, z=-0.08473311364650726, visibility=0.9990094900131226, presence=0.9981575608253479)
NormalizedLandmark(x=0.5793984532356262, y=0.6893252730369568, z=-0.10166284441947937, visibility=0.9989758729934692, presence=0.9980227947235107)
NormalizedLandmark(x=0.5790062546730042, y=0.6847579479217529, z=-0.06893553584814072, visibility=0.9995717406272888, presence=0.9992089867591858)
NormalizedLandmark(x=0.5810998678207397, y=0.6797736287117004, z=-0.056370947510004044, visibility=0.9995371103286743, presence=0.999157190322876)
NormalizedLandmark(x=0.5835240483283997, y=0.6775966882705688, z=-0.03672216460108757, visibility=0.9996275901794434, presence=0.99932861328125)
NormalizedLandmark(x=0.5840549468994141, y=0.6766552925109863, z=-0.024870404973626137, visibility=0.9994513392448425, presence=0.9988577365875244)
NormalizedLandmark(x=0.5773495435714722, y=0.6726951003074646, z=-0.06485462188720703, visibility=0.9987704157829285, presence=0.9971543550491333)
NormalizedLandmark(x=0.585599422454834, y=0.672443151473999, z=0.0032654099632054567, visibility=0.9993162155151367, presence=0.9985578656196594)
NormalizedLandmark(x=0.585125744342804, y=0.6735352873802185, z=-0.06584534049034119, visibility=0.9994372725486755, presence=0.9989628791809082)
NormalizedLandmark(x=0.5869789123535156, y=0.6803560853004456, z=-0.058178145438432693, visibility=0.9989581108093262, presence=0.9977228045463562)
NormalizedLandmark(x=0.5852372646331787, y=0.6858981251716614, z=-0.025469716638326645, visibility=0.999204695224762, presence=0.9984347224235535)
NormalizedLandmark(x=0.5876389145851135, y=0.6883467435836792, z=-0.03357820212841034, visibility=0.9991480112075806, presence=0.9985042810440063)
NormalizedLandmark(x=0.5865097045898438, y=0.6756683588027954, z=-0.06207899749279022, visibility=0.9995567202568054, presence=0.9989553689956665)
NormalizedLandmark(x=0.5829397439956665, y=0.6771876811981201, z=-0.025287507101893425, visibility=0.99934321641922, presence=0.9985698461532593)
NormalizedLandmark(x=0.5888364911079407, y=0.6840194463729858, z=-0.019067833200097084, visibility=0.9993357062339783, presence=0.9987986087799072)
NormalizedLandmark(x=0.5904108881950378, y=0.689104437828064, z=-0.048014651983976364, visibility=0.9994082450866699, presence=0.9984947443008423)
NormalizedLandmark(x=0.5938735008239746, y=0.6828188300132751, z=-0.09373705089092255, visibility=0.9993708729743958, presence=0.9986622333526611)
NormalizedLandmark(x=0.5930185317993164, y=0.694818913936615, z=0.06792621314525604, visibility=0.9998725652694702, presence=0.9998376369476318)
NormalizedLandmark(x=0.5836940407752991, y=0.6657658815383911, z=-0.04784941300749779, visibility=0.998595654964447, presence=0.9972858428955078)
NormalizedLandmark(x=0.5869324207305908, y=0.6593577265739441, z=-0.0014529027976095676, visibility=0.9992234706878662, presence=0.997965931892395)
NormalizedLandmark(x=0.5841350555419922, y=0.6566245555877686, z=-0.1186460554599762, visibility=0.9988178610801697, presence=0.9936495423316956)
NormalizedLandmark(x=0.5804957747459412, y=0.6342867016792297, z=-0.06757431477308273, visibility=0.9995885491371155, presence=0.9986893534660339)
NormalizedLandmark(x=0.5755456686019897, y=0.6021418571472168, z=-0.1712290644645691, visibility=0.9995790123939514, presence=0.9985567927360535)
NormalizedLandmark(x=0.5699827671051025, y=0.600412905216217, z=-0.1942143589258194, visibility=0.9995874762535095, presence=0.9981617331504822)
NormalizedLandmark(x=0.5613110661506653, y=0.6008270382881165, z=-0.10279838740825653, visibility=0.9993865489959717, presence=0.9965838193893433)
NormalizedLandmark(x=0.5643530488014221, y=0.5947930812835693, z=-0.11631269007921219, visibility=0.9996185302734375, presence=0.9979161620140076)
NormalizedLandmark(x=0.5621224045753479, y=0.5827418565750122, z=0.01702171191573143, visibility=0.9997027516365051, presence=0.9981521964073181)
NormalizedLandmark(x=0.5596007108688354, y=0.606040894985199, z=-0.060166649520397186, visibility=0.9988721013069153, presence=0.9922115802764893)
NormalizedLandmark(x=0.5605907440185547, y=0.5912724733352661, z=-0.026862720027565956, visibility=0.9993921518325806, presence=0.9963749051094055)
NormalizedLandmark(x=0.5607403516769409, y=0.6007768511772156, z=-0.09403105080127716, visibility=0.9993759989738464, presence=0.9966481328010559)
NormalizedLandmark(x=0.564578652381897, y=0.5999799370765686, z=-0.050274696201086044, visibility=0.9994171857833862, presence=0.9967993497848511)
NormalizedLandmark(x=0.5601159334182739, y=0.5976302623748779, z=-0.11001195758581161, visibility=0.9994518160820007, presence=0.997041642665863)
NormalizedLandmark(x=0.5674567222595215, y=0.599511444568634, z=-0.007776901591569185, visibility=0.9996973276138306, presence=0.9989864230155945)
NormalizedLandmark(x=0.5650057196617126, y=0.6034366488456726, z=-0.004835143219679594, visibility=0.9995535016059875, presence=0.9979051351547241)
NormalizedLandmark(x=0.5620731711387634, y=0.5987687706947327, z=-0.10791753977537155, visibility=0.999534010887146, presence=0.9975962042808533)
NormalizedLandmark(x=0.5658383965492249, y=0.5978493690490723, z=0.011272192001342773, visibility=0.9996918439865112, presence=0.998598039150238)
NormalizedLandmark(x=0.5645648241043091, y=0.5880911946296692, z=0.052686743438243866, visibility=0.9996970891952515, presence=0.9981845021247864)
NormalizedLandmark(x=0.5627937316894531, y=0.59426349401474, z=-0.003930935636162758, visibility=0.9993953704833984, presence=0.9952796697616577)
NormalizedLandmark(x=0.5593419671058655, y=0.5936451554298401, z=-0.11970870196819305, visibility=0.9988861680030823, presence=0.9938156604766846)
NormalizedLandmark(x=0.5608085989952087, y=0.5927258729934692, z=-0.02025093138217926, visibility=0.999308705329895, presence=0.9953950047492981)
NormalizedLandmark(x=0.5643313527107239, y=0.596015989780426, z=-0.011645503342151642, visibility=0.9992290735244751, presence=0.9951403141021729)
NormalizedLandmark(x=0.5648416876792908, y=0.5991466045379639, z=0.0057764858938753605, visibility=0.9995515942573547, presence=0.9978370070457458)
NormalizedLandmark(x=0.5647159814834595, y=0.5918534994125366, z=-0.014870640821754932, visibility=0.9993665814399719, presence=0.996070384979248)
NormalizedLandmark(x=0.5645740628242493, y=0.6043894290924072, z=-0.04455288499593735, visibility=0.9993590712547302, presence=0.9962894916534424)
NormalizedLandmark(x=0.5636939406394958, y=0.5879446268081665, z=-0.05445925146341324, visibility=0.9995589852333069, presence=0.9974729418754578)
NormalizedLandmark(x=0.5663585662841797, y=0.5920394062995911, z=-0.04326535388827324, visibility=0.9995365142822266, presence=0.9980329871177673)
NormalizedLandmark(x=0.5698319673538208, y=0.5994378924369812, z=-0.05369298532605171, visibility=0.9996259212493896, presence=0.9978691339492798)
NormalizedLandmark(x=0.5713847875595093, y=0.5988379120826721, z=-0.048867952078580856, visibility=0.9997010827064514, presence=0.9982306361198425)
NormalizedLandmark(x=0.5786598324775696, y=0.5956889986991882, z=-0.14928363263607025, visibility=0.999714195728302, presence=0.9988698363304138)
NormalizedLandmark(x=0.582611620426178, y=0.6016009449958801, z=-0.12875111401081085, visibility=0.999683141708374, presence=0.998422384262085)
NormalizedLandmark(x=0.5849849581718445, y=0.6148852705955505, z=-0.18675974011421204, visibility=0.99947589635849, presence=0.9977399110794067)
NormalizedLandmark(x=0.5850833654403687, y=0.6266101598739624, z=-0.15363053977489471, visibility=0.9997275471687317, presence=0.9990695118904114)
NormalizedLandmark(x=0.5841082334518433, y=0.6483294367790222, z=-0.15105782449245453, visibility=0.9998210072517395, presence=0.9995712637901306)
NormalizedLandmark(x=0.6013346314430237, y=0.6500484347343445, z=-0.23727798461914062, visibility=0.9996620416641235, presence=0.9992641806602478)
