
NormalizedLandmark(x=0.43129920959472656, y=0.7178314328193665, z=-0.42218729853630066, visibility=0.9995325803756714, presence=0.9989266991615295)
NormalizedLandmark(x=0.4314064383506775, y=0.7265179753303528, z=-0.42760276794433594, visibility=0.9994767308235168, presence=0.9970757961273193)
NormalizedLandmark(x=0.4288173019886017, y=0.7371402978897095, z=-0.37813326716423035, visibility=0.9997562766075134, presence=0.9989953637123108)
NormalizedLandmark(x=0.43129295110702515, y=0.7272619009017944, z=-0.3761584162712097, visibility=0.9985823631286621, presence=0.9933770298957825)
NormalizedLandmark(x=0.426633358001709, y=0.7383350729942322, z=-0.4041703939437866, visibility=0.9996213912963867, presence=0.9986482262611389)
NormalizedLandmark(x=0.42958036065101624, y=0.738799512386322, z=-0.36160808801651, visibility=0.9997524619102478, presence=0.9994557499885559)
NormalizedLandmark(x=0.4267035126686096, y=0.7325670123100281, z=-0.3577675223350525, visibility=0.9982852339744568, presence=0.9950419664382935)
NormalizedLandmark(x=0.4279652237892151, y=0.7352621555328369, z=-0.3868550956249237, visibility=0.9998400211334229, presence=0.9995599389076233)
NormalizedLandmark(x=0.4290916919708252, y=0.7313563227653503, z=-0.38972997665405273, visibility=0.9992738366127014, presence=0.9976978898048401)
NormalizedLandmark(x=0.4293421506881714, y=0.7374449372291565, z=-0.416703462600708, visibility=0.9998372793197632, presence=0.9992637038230896)
NormalizedLandmark(x=0.4288244843482971, y=0.7362472414970398, z=-0.35594642162323, visibility=0.9983433485031128, presence=0.9949819445610046)
NormalizedLandmark(x=0.42864054441452026, y=0.735248863697052, z=-0.34151214361190796, visibility=0.9962319731712341, presence=0.9860105514526367)
NormalizedLandmark(x=0.424970805644989, y=0.7358218431472778, z=-0.36481624841690063, visibility=0.9998610019683838, presence=0.9997316002845764)
NormalizedLandmark(x=0.42930421233177185, y=0.7313595414161682, z=-0.35388368368148804, visibility=0.999677300453186, presence=0.9991047978401184)
NormalizedLandmark(x=0.4249187409877777, y=0.7341089844703674, z=-0.3888317942619324, visibility=0.9998278617858887, presence=0.9995228052139282)
NormalizedLandmark(x=0.428713321685791, y=0.7295174598693848, z=-0.389310359954834, visibility=0.9999058246612549, presence=0.9996148347854614)
NormalizedLandmark(x=0.42883774638175964, y=0.7297228574752808, z=-0.3644772469997406, visibility=0.9992353916168213, presence=0.9976657629013062)
NormalizedLandmark(x=0.42596977949142456, y=0.7349551916122437, z=-0.38355329632759094, visibility=0.9997214674949646, presence=0.9993177652359009)
