
NormalizedLandmark(x=0.6401623487472534, y=0.7183272242546082, z=-0.2775251865386963, visibility=0.9945371747016907, presence=0.9964922070503235)
NormalizedLandmark(x=0.637502908706665, y=0.7230892777442932, z=-0.2053285390138626, visibility=0.997292697429657, presence=0.9986526966094971)
NormalizedLandmark(x=0.6320290565490723, y=0.7270948886871338, z=-0.263856440782547, visibility=0.9873756170272827, presence=0.9914774298667908)
NormalizedLandmark(x=0.642501711845398, y=0.718044638633728, z=-0.30382096767425537, visibility=0.9977164268493652, presence=0.9985438585281372)
NormalizedLandmark(x=0.6356958150863647, y=0.7199890613555908, z=-0.24371933937072754, visibility=0.9985578656196594, presence=0.9993724226951599)
NormalizedLandmark(x=0.6304309964179993, y=0.7279172539710999, z=-0.2937527596950531, visibility=0.993375837802887, presence=0.995464026927948)
NormalizedLandmark(x=0.6314004063606262, y=0.7231379151344299, z=-0.21594129502773285, visibility=0.9985942244529724, presence=0.9994896650314331)
NormalizedLandmark(x=0.6298230886459351, y=0.7247974872589111, z=-0.2765558660030365, visibility=0.9944235682487488, presence=0.9972724318504333)
NormalizedLandmark(x=0.6386563181877136, y=0.7241021394729614, z=-0.26770225167274475, visibility=0.9985986351966858, presence=0.9989479184150696)
NormalizedLandmark(x=0.6319730877876282, y=0.7253557443618774, z=-0.25395825505256653, visibility=0.9912643432617188, presence=0.9953417778015137)
NormalizedLandmark(x=0.6312747001647949, y=0.7250791192054749, z=-0.2819613516330719, visibility=0.9845250248908997, presence=0.989465594291687)
NormalizedLandmark(x=0.6293249130249023, y=0.7245548367500305, z=-0.2241188883781433, visibility=0.9991198182106018, presence=0.9996961355209351)
NormalizedLandmark(x=0.634776771068573, y=0.7196159958839417, z=-0.23356246948242188, visibility=0.9980693459510803, presence=0.9990562796592712)
NormalizedLandmark(x=0.6317322850227356, y=0.7255327105522156, z=-0.2600681781768799, visibility=0.9988803267478943, presence=0.9994544386863708)
NormalizedLandmark(x=0.6366616487503052, y=0.7217584252357483, z=-0.22811685502529144, visibility=0.9991108775138855, presence=0.9994490742683411)
NormalizedLandmark(x=0.633444607257843, y=0.7257206439971924, z=-0.24932442605495453, visibility=0.9962409734725952, presence=0.9978125095367432)
NormalizedLandmark(x=0.6304698586463928, y=0.7273573279380798, z=-0.24384763836860657, visibility=0.9983072280883789, presence=0.9992560744285583)
NormalizedLandmark(x=0.6328993439674377, y=0.7206205129623413, z=-0.23713716864585876, visibility=0.9987723231315613, presence=0.9994007349014282)
NormalizedLandmark(x=0.6273000240325928, y=0.725944995880127, z=-0.22890707850456238, visibility=0.9976325035095215, presence=0.9989076852798462)
NormalizedLandmark(x=0.6339040398597717, y=0.725529670715332, z=-0.2776801586151123, visibility=0.9961733222007751, presence=0.9977251887321472)
NormalizedLandmark(x=0.6336531639099121, y=0.7117671370506287, z=-0.2043474316596985, visibility=0.9963237047195435, presence=0.9988670349121094)
NormalizedLandmark(x=0.6381591558456421, y=0.7242527604103088, z=-0.21806001663208008, visibility=0.9847999811172485, presence=0.9896990656852722)
NormalizedLandmark(x=0.6478468179702759, y=0.7196804285049438, z=-0.17979802191257477, visibility=0.9832793474197388, presence=0.9948462247848511)
NormalizedLandmark(x=0.6425890922546387, y=0.7169526219367981, z=-0.1909453272819519, visibility=0.9674364924430847, presence=0.9854977130889893)
NormalizedLandmark(x=0.6515120267868042, y=0.7147194147109985, z=-0.16449318826198578, visibility=0.9530889987945557, presence=0.9834145903587341)
NormalizedLandmark(x=0.6648969650268555, y=0.7024086713790894, z=-0.09093404561281204, visibility=0.961734414100647, presence=0.9855265617370605)
NormalizedLandmark(x=0.6689461469650269, y=0.702661395072937, z=0.012183873914182186, visibility=0.9514541625976562, presence=0.9835672378540039)
NormalizedLandmark(x=0.672569751739502, y=0.6920542120933533, z=-0.01293349452316761, visibility=0.9812708497047424, presence=0.9940240979194641)
NormalizedLandmark(x=0.680320143699646, y=0.6842330098152161, z=-0.05108543112874031, visibility=0.9662429094314575, presence=0.9847081899642944)
NormalizedLandmark(x=0.676806628704071, y=0.7006382346153259, z=0.007394487038254738, visibility=0.9446123242378235, presence=0.9642207622528076)
NormalizedLandmark(x=0.6899324655532837, y=0.6820731163024902, z=0.05469508841633797, visibility=0.9250093102455139, presence=0.9774223566055298)
NormalizedLandmark(x=0.7104410529136658, y=0.694804310798645, z=-0.014797554351389408, visibility=0.9556772708892822, presence=0.9610205292701721)
NormalizedLandmark(x=0.7128517031669617, y=0.6925433874130249, z=-0.089405857026577, visibility=0.9755339026451111, presence=0.9760662317276001)
NormalizedLandmark(x=0.718415379524231, y=0.704751193523407, z=-0.14150291681289673, visibility=0.9854352474212646, presence=0.9792585968971252)
NormalizedLandmark(x=0.7199038863182068, y=0.7052651643753052, z=-0.20384790003299713, visibility=0.9874001145362854, presence=0.9828187823295593)
NormalizedLandmark(x=0.7268791198730469, y=0.7084205150604248, z=-0.2778184413909912, visibility=0.9907301068305969, presence=0.9864180684089661)
NormalizedLandmark(x=0.7254188656806946, y=0.7161754369735718, z=-0.22147038578987122, visibility=0.9693098664283752, presence=0.9619336724281311)
NormalizedLandmark(x=0.7183767557144165, y=0.7215165495872498, z=-0.20968803763389587, visibility=0.9835220575332642, presence=0.9768174290657043)
NormalizedLandmark(x=0.7212391495704651, y=0.7261760830879211, z=-0.2643817067146301, visibility=0.9794663190841675, presence=0.9695493578910828)
NormalizedLandmark(x=0.7156474590301514, y=0.7248616218566895, z=-0.2065613865852356, visibility=0.9898169040679932, presence=0.9858060479164124)
NormalizedLandmark(x=0.7161512970924377, y=0.7299169898033142, z=-0.24274323880672455, visibility=0.986152172088623, presence=0.9840340614318848)
NormalizedLandmark(x=0.7136640548706055, y=0.7195882797241211, z=-0.24327336251735687, visibility=0.9853544235229492, presence=0.9765796065330505)
NormalizedLandmark(x=0.7116622924804688, y=0.7171590328216553, z=-0.13647055625915527, visibility=0.987823486328125, presence=0.982239842414856)
NormalizedLandmark(x=0.7188953757286072, y=0.729119598865509, z=-0.24750685691833496, visibility=0.9865575432777405, presence=0.975435197353363)
NormalizedLandmark(x=0.7136766314506531, y=0.7165884971618652, z=-0.24396690726280212, visibility=0.99309241771698, presence=0.9901106953620911)
NormalizedLandmark(x=0.7142014503479004, y=0.7207856178283691, z=-0.262673020362854, visibility=0.9833096861839294, presence=0.9780651926994324)
