
NormalizedLandmark(x=0.6869500875473022, y=0.6127810478210449, z=-0.689460277557373, visibility=0.997191846370697, presence=0.9978973865509033)
NormalizedLandmark(x=0.6830202341079712, y=0.5877915620803833, z=-0.5806425213813782, visibility=0.9987179040908813, presence=0.9993667006492615)
NormalizedLandmark(x=0.67528235912323, y=0.623853325843811, z=-0.6511787176132202, visibility=0.9918443560600281, presence=0.9910567998886108)
NormalizedLandmark(x=0.677060067653656, y=0.5992048382759094, z=-0.7104477286338806, visibility=0.9987391829490662, presence=0.9992951154708862)
NormalizedLandmark(x=0.6777856945991516, y=0.6052558422088623, z=-0.6336989402770996, visibility=0.9990906715393066, presence=0.9995904564857483)
NormalizedLandmark(x=0.6728540062904358, y=0.6333488821983337, z=-0.6886056065559387, visibility=0.9958537817001343, presence=0.995205283164978)
NormalizedLandmark(x=0.6741166710853577, y=0.6252049207687378, z=-0.5967438817024231, visibility=0.9991757273674011, presence=0.9996769428253174)
NormalizedLandmark(x=0.6730170249938965, y=0.6318911910057068, z=-0.6693893074989319, visibility=0.9964128136634827, presence=0.99784255027771)
NormalizedLandmark(x=0.6766365170478821, y=0.6199161410331726, z=-0.6647794246673584, visibility=0.9992400407791138, presence=0.9995753169059753)
NormalizedLandmark(x=0.6743126511573792, y=0.6293641328811646, z=-0.6289379596710205, visibility=0.9937159419059753, presence=0.9943643808364868)
NormalizedLandmark(x=0.6735801696777344, y=0.6339871287345886, z=-0.6797429323196411, visibility=0.9890760183334351, presence=0.9834176898002625)
NormalizedLandmark(x=0.6769161820411682, y=0.6106982231140137, z=-0.6037225723266602, visibility=0.9994459748268127, presence=0.9998210072517395)
NormalizedLandmark(x=0.6765428185462952, y=0.6164423823356628, z=-0.6110654473304749, visibility=0.9988020658493042, presence=0.9993663430213928)
NormalizedLandmark(x=0.6737538576126099, y=0.6283332109451294, z=-0.6565889716148376, visibility=0.9993601441383362, presence=0.9997269511222839)
NormalizedLandmark(x=0.6766594052314758, y=0.6076933741569519, z=-0.6204289793968201, visibility=0.9995278120040894, presence=0.9998002648353577)
NormalizedLandmark(x=0.6756725311279297, y=0.6322399377822876, z=-0.6319734454154968, visibility=0.9975014328956604, presence=0.9978310465812683)
NormalizedLandmark(x=0.6758084893226624, y=0.6294581890106201, z=-0.6328563094139099, visibility=0.9989940524101257, presence=0.9995023012161255)
NormalizedLandmark(x=0.6768893003463745, y=0.6191290020942688, z=-0.6232581734657288, visibility=0.9992648959159851, presence=0.9996367692947388)
NormalizedLandmark(x=0.6722443699836731, y=0.6285699009895325, z=-0.6195682883262634, visibility=0.9985607266426086, presence=0.9990618824958801)
NormalizedLandmark(x=0.6751893162727356, y=0.6297953724861145, z=-0.6726386547088623, visibility=0.9975455403327942, presence=0.9981440305709839)
NormalizedLandmark(x=0.6812655329704285, y=0.6035715937614441, z=-0.5962961912155151, visibility=0.9980270266532898, presence=0.9991317391395569)
NormalizedLandmark(x=0.6816213726997375, y=0.6206812262535095, z=-0.5950651168823242, visibility=0.9903302192687988, presence=0.9876490235328674)
NormalizedLandmark(x=0.6972918510437012, y=0.6140862703323364, z=-0.5830703377723694, visibility=0.9925353527069092, presence=0.9924401044845581)
NormalizedLandmark(x=0.708622932434082, y=0.618480384349823, z=-0.5811538100242615, visibility=0.9826550483703613, presence=0.9717442989349365)
NormalizedLandmark(x=0.7218132615089417, y=0.6126092076301575, z=-0.5492532253265381, visibility=0.9785109758377075, presence=0.9692534804344177)
NormalizedLandmark(x=0.7363778948783875, y=0.6036449074745178, z=-0.4330805242061615, visibility=0.9796714186668396, presence=0.9603265523910522)
NormalizedLandmark(x=0.7468007802963257, y=0.6039397120475769, z=-0.26466262340545654, visibility=0.9720702767372131, presence=0.9452036619186401)
NormalizedLandmark(x=0.7580829858779907, y=0.606761634349823, z=-0.29026728868484497, visibility=0.9906796813011169, presence=0.9877673387527466)
NormalizedLandmark(x=0.7732271552085876, y=0.6034547686576843, z=-0.3540298640727997, visibility=0.9751906991004944, presence=0.9286558032035828)
NormalizedLandmark(x=0.7801565527915955, y=0.6275824904441833, z=-0.2346046268939972, visibility=0.9598723649978638, presence=0.802249014377594)
NormalizedLandmark(x=0.7960918545722961, y=0.6118436455726624, z=-0.16866537928581238, visibility=0.9428508281707764, presence=0.8457741737365723)
NormalizedLandmark(x=0.8230118155479431, y=0.6175054311752319, z=-0.23854951560497284, visibility=0.9632851481437683, presence=0.7501450181007385)
NormalizedLandmark(x=0.832507312297821, y=0.6202833652496338, z=-0.31408756971359253, visibility=0.9813089966773987, presence=0.8964633345603943)
NormalizedLandmark(x=0.8419954180717468, y=0.6419594883918762, z=-0.3844158351421356, visibility=0.9877983927726746, presence=0.9072462320327759)
NormalizedLandmark(x=0.8559061288833618, y=0.6573271751403809, z=-0.4047362208366394, visibility=0.9827929735183716, presence=0.8965363502502441)
NormalizedLandmark(x=0.8662979602813721, y=0.6647781729698181, z=-0.48594149947166443, visibility=0.9850143790245056, presence=0.9000936150550842)
NormalizedLandmark(x=0.8655113577842712, y=0.678789496421814, z=-0.4448831379413605, visibility=0.9568463563919067, presence=0.7272887229919434)
NormalizedLandmark(x=0.8567681312561035, y=0.6902884840965271, z=-0.4178066551685333, visibility=0.9713003039360046, presence=0.8355512022972107)
NormalizedLandmark(x=0.8668868541717529, y=0.695975124835968, z=-0.4729013442993164, visibility=0.9629335403442383, presence=0.7731772065162659)
NormalizedLandmark(x=0.8585537672042847, y=0.7054285407066345, z=-0.42632079124450684, visibility=0.9818795919418335, presence=0.883251965045929)
