
NormalizedLandmark(x=0.47428789734840393, y=0.5365698337554932, z=-0.7836799621582031, visibility=0.9996128678321838, presence=0.9996094107627869)
NormalizedLandmark(x=0.47998854517936707, y=0.5415059328079224, z=-0.6951238512992859, visibility=0.9998376369476318, presence=0.9998939037322998)
NormalizedLandmark(x=0.4725588858127594, y=0.555098831653595, z=-0.7224574089050293, visibility=0.9987277388572693, presence=0.9986646175384521)
NormalizedLandmark(x=0.4749380946159363, y=0.5642173886299133, z=-0.7610384821891785, visibility=0.9997416138648987, presence=0.9998326301574707)
NormalizedLandmark(x=0.4761835038661957, y=0.5556424856185913, z=-0.7093291878700256, visibility=0.9998040795326233, presence=0.9999010562896729)
NormalizedLandmark(x=0.46424147486686707, y=0.6003248691558838, z=-0.7410700917243958, visibility=0.9987567663192749, presence=0.9985711574554443)
NormalizedLandmark(x=0.475250780582428, y=0.542402446269989, z=-0.7109482884407043, visibility=0.9998444318771362, presence=0.999927282333374)
NormalizedLandmark(x=0.4771023094654083, y=0.5368667244911194, z=-0.7245914936065674, visibility=0.9992827773094177, presence=0.9996217489242554)
NormalizedLandmark(x=0.47616222500801086, y=0.5441518425941467, z=-0.7548918724060059, visibility=0.999860405921936, presence=0.9999278783798218)
NormalizedLandmark(x=0.4721266031265259, y=0.5595266819000244, z=-0.6900262236595154, visibility=0.9985082745552063, presence=0.9987499713897705)
NormalizedLandmark(x=0.4688299596309662, y=0.5663800239562988, z=-0.7114429473876953, visibility=0.9971332550048828, presence=0.9956276416778564)
NormalizedLandmark(x=0.47125837206840515, y=0.5384195446968079, z=-0.6931660175323486, visibility=0.9998884201049805, presence=0.9999561309814453)
NormalizedLandmark(x=0.4709971249103546, y=0.5332140922546387, z=-0.691098153591156, visibility=0.9997610449790955, presence=0.9998562335968018)
NormalizedLandmark(x=0.4681883752346039, y=0.5434611439704895, z=-0.7362858057022095, visibility=0.9998568296432495, presence=0.9999316930770874)
NormalizedLandmark(x=0.4746135175228119, y=0.530597448348999, z=-0.7302910685539246, visibility=0.9999101161956787, presence=0.9999589920043945)
NormalizedLandmark(x=0.4703621566295624, y=0.5440120697021484, z=-0.7136722207069397, visibility=0.9993516802787781, presence=0.9995168447494507)
NormalizedLandmark(x=0.46929195523262024, y=0.5457349419593811, z=-0.7253085374832153, visibility=0.9997474551200867, presence=0.9998787641525269)
NormalizedLandmark(x=0.47126954793930054, y=0.5348408222198486, z=-0.7044975757598877, visibility=0.9998164772987366, presence=0.9999110698699951)
NormalizedLandmark(x=0.4766504764556885, y=0.5476807355880737, z=-0.7190581560134888, visibility=0.9996757507324219, presence=0.9998249411582947)
NormalizedLandmark(x=0.46990740299224854, y=0.5363297462463379, z=-0.7390565872192383, visibility=0.9994742274284363, presence=0.9996247291564941)
NormalizedLandmark(x=0.4712696075439453, y=0.5342100262641907, z=-0.7071164846420288, visibility=0.9996861219406128, presence=0.9997314810752869)
NormalizedLandmark(x=0.459865540266037, y=0.5607070326805115, z=-0.6953976154327393, visibility=0.9977151155471802, presence=0.9971924424171448)
NormalizedLandmark(x=0.4232714772224426, y=0.6052573323249817, z=-0.8125835061073303, visibility=0.9988202452659607, presence=0.996731162071228)
NormalizedLandmark(x=0.4108878970146179, y=0.6032330989837646, z=-0.7687478065490723, visibility=0.9958450198173523, presence=0.9896064400672913)
NormalizedLandmark(x=0.3948614299297333, y=0.5850211977958679, z=-0.7781014442443848, visibility=0.9957453608512878, presence=0.9838079810142517)
NormalizedLandmark(x=0.38044530153274536, y=0.6104092001914978, z=-0.818930447101593, visibility=0.9946272969245911, presence=0.9813013076782227)
NormalizedLandmark(x=0.37151899933815, y=0.6023350358009338, z=-0.7827441692352295, visibility=0.9932224750518799, presence=0.9739654660224915)
NormalizedLandmark(x=0.3584544360637665, y=0.5991416573524475, z=-0.7375515103340149, visibility=0.9977867603302002, presence=0.9948074221611023)
NormalizedLandmark(x=0.34446147084236145, y=0.5915856957435608, z=-0.6636984348297119, visibility=0.9936202168464661, presence=0.979714572429657)
NormalizedLandmark(x=0.3217089772224426, y=0.5922600030899048, z=-0.7005116939544678, visibility=0.9921883344650269, presence=0.9507186412811279)
NormalizedLandmark(x=0.30754515528678894, y=0.5864109396934509, z=-0.576326310634613, visibility=0.9887526631355286, presence=0.9298018217086792)
NormalizedLandmark(x=0.27442002296447754, y=0.5855947732925415, z=-0.5281767249107361, visibility=0.9907710552215576, presence=0.9071422815322876)
NormalizedLandmark(x=0.2573201358318329, y=0.580038845539093, z=-0.48960810899734497, visibility=0.9949245452880859, presence=0.9569761753082275)
NormalizedLandmark(x=0.23041591048240662, y=0.5968937873840332, z=-0.445159912109375, visibility=0.9956973791122437, presence=0.9583353996276855)
NormalizedLandmark(x=0.2096332162618637, y=0.6188912391662598, z=-0.47595784068107605, visibility=0.9957183003425598, presence=0.9373400807380676)
NormalizedLandmark(x=0.1908528208732605, y=0.63165283203125, z=-0.5318511128425598, visibility=0.9954401254653931, presence=0.9342165589332581)
NormalizedLandmark(x=0.17471309006214142, y=0.6491541862487793, z=-0.5058853030204773, visibility=0.992077648639679, presence=0.8699803352355957)
NormalizedLandmark(x=0.17463284730911255, y=0.6598832607269287, z=-0.5153847932815552, visibility=0.9945064187049866, presence=0.9181292057037354)
