names,max,min,mean,median
x,0.5157231092453003,0.0,0.43642106539605,0.4327239096164703
y,0.8009741306304932,0.0,0.6617194950785424,0.6639952659606934
z,0.5097838044166565,-1.6816155910491943,-0.2176292907907483,-0.2361882477998733
